Ring_No,Ringed_date,Ringed_day,Ringed_month,Ringed_year,EurAgeCode,EurAgeText,SEX
124035,6/25/2011,25,6,2011,1,Pullus,M
124036,6/25/2011,25,6,2011,1,Pullus,M
124037,6/25/2011,25,6,2011,1,Pullus,M
124038,6/25/2011,25,6,2011,1,Pullus,M
124039,6/25/2011,25,6,2011,1,Pullus,M
124040,6/17/2012,17,6,2012,1,Pullus,M
124041,6/17/2012,17,6,2012,1,Pullus,M
124042,6/17/2012,17,6,2012,1,Pullus,M
124043,6/18/2012,18,6,2012,1,Pullus,M
124044,6/18/2012,18,6,2012,1,Pullus,M
124045,6/18/2012,18,6,2012,1,Pullus,M
124046,6/18/2012,18,6,2012,1,Pullus,M
124047,6/18/2012,18,6,2012,1,Pullus,M
124048,6/20/2012,20,6,2012,1,Pullus,M
124049,6/20/2012,20,6,2012,1,Pullus,M
124050,6/21/2012,21,6,2012,1,Pullus,M
124351,6/21/2012,21,6,2012,1,Pullus,M
124352,6/22/2012,22,6,2012,1,Pullus,M
124353,6/23/2012,23,6,2012,1,Pullus,M
124354,6/23/2012,23,6,2012,1,Pullus,M
124355,6/23/2012,23,6,2012,1,Pullus,M
124356,6/25/2012,25,6,2012,1,Pullus,M
124357,6/25/2012,25,6,2012,1,Pullus,M
124358,6/25/2012,25,6,2012,1,Pullus,M
124359,6/26/2012,26,6,2012,1,Pullus,M
124360,6/21/2013,21,6,2013,1,Pullus,M
124361,6/21/2013,21,6,2013,1,Pullus,M
124362,6/23/2013,23,6,2013,1,Pullus,M
124363,6/24/2013,24,6,2013,1,Pullus,0
124364,6/29/2013,29,6,2013,1,Pullus,M
124365,6/29/2013,29,6,2013,1,Pullus,M
124366,6/14/2014,14,6,2014,1,Pullus,M
124367,6/14/2014,14,6,2014,1,Pullus,M
124368,6/14/2014,14,6,2014,1,Pullus,M
132301,6/25/2002,25,6,2002,1,Pullus,F
132302,6/25/2002,25,6,2002,1,Pullus,F
132303,6/27/2002,27,6,2002,1,Pullus,F
132304,6/27/2002,27,6,2002,1,Pullus,F
132305,6/28/2002,28,6,2002,1,Pullus,F
132306,6/20/2003,20,6,2003,1,Pullus,0
132307,6/20/2003,20,6,2003,1,Pullus,0
132308,6/23/2003,23,6,2003,1,Pullus,F
132309,6/24/2003,24,6,2003,1,Pullus,F
132310,6/24/2003,24,6,2003,1,Pullus,F
132311,6/23/2003,23,6,2003,1,Pullus,F
132312,6/23/2003,23,6,2003,1,Pullus,F
132313,6/24/2003,24,6,2003,1,Pullus,F
132314,6/24/2003,24,6,2003,1,Pullus,F
132315,6/25/2003,25,6,2003,1,Pullus,F
132316,6/25/2003,25,6,2003,1,Pullus,F
